===================================
|     ISBN      || Used  ||  New  |
| 9780195431476 ||  0.11 || 26.41 |
| 9780130351173 || -0.08 || 66.67 |
| 9780199536191 || -0.10 ||  2.35 |
| 9780124158429 || -0.14 || 24.86 |
| 9780192802293 || -0.42 ||  8.03 |
| 9780199537051 || -0.52 ||  1.68 |
| 9780176530853 || -0.75 || 35.25 |
| 9780199563715 || -0.78 || 14.72 |
| 9780199537181 || -0.81 ||  0.89 |
| 9780140443332 || -1.10 ||  2.65 |
| 9780199535903 || -1.43 ||  1.27 |
| 9780198724049 || -1.70 ||  3.55 |
| 9780199332342 || -1.89 || 36.11 |
| 9780199665884 || -2.01 || 18.24 |
| 9780199535835 || -2.29 ||  0.41 |
| 9780201122985 || -2.30 || 14.20 |
| 9780190222758 || -2.40 ||  2.30 |
| 9780199535729 || -2.50 ||  0.70 |
| 9780195447538 || -2.69 || 26.51 |
| 9780199536443 || -3.13 || -0.93 |
| 9780195441291 || -3.17 || 15.38 |
| 9780199540334 || -3.60 ||  0.10 |
| 9780199584321 || -3.68 || -0.23 |
| 9780176509460 || -3.75 || 27.50 |
| 9780137079209 || -3.80 || 33.70 |
| 9780199001316 || -3.83 || 17.42 |
| 9780143054351 || -4.68 ||  0.32 |
| 9780133406788 || -4.83 || 44.42 |
| 9780199537006 || -5.47 || -2.77 |
| 9780205846788 || -5.87 || 23.13 |
| 9780199538768 || -5.92 || -3.22 |
| 9780060976255 || -6.01 ||  1.48 |
| 9780199535675 || -6.39 || -2.64 |
| 9780199535811 || -6.44 || -3.74 |
| 9780140449358 || -6.65 || -1.65 |
| 9780143120544 || -6.68 || -1.68 |
| 9780199536092 || -7.75 || -5.05 |
| 9780199325184 || -7.77 || -2.77 |
| 9780199536146 || -8.21 || -5.51 |
| 9780199537129 || -8.21 || -5.51 |
| 9780142437148 || -8.24 ||  2.01 |
| 9780061834813 || -9.29 || -4.04 |
| 9780176503963 || -9.35 || 20.65 |
| 9780199330621 || -9.77 || -1.52 |
| 9780141199450 || -9.84 || -6.84 |
| 9780199303441 || -9.88 || 11.42 |
| 9780199535712 || -10.83 || -9.13 |
| 9780133831535 || -11.00 || 21.75 |
| 9780176252502 || -11.26 || 18.99 |
| 9780205242658 || -11.75 || 28.00 |
| 9780061997228 || -12.00 || -5.26 |
| 9780199226092 || -12.13 ||  4.62 |
| 9780061859977 || -12.24 || -8.00 |
| 9780195379471 || -12.79 || -6.59 |
| 9780195365542 || -13.01 || -5.01 |
| 9780077861803 || -14.27 || 30.03 |
| 9780202306841 || -15.66 || -8.66 |
| 9780199797448 || -16.20 || -10.45 |
| 9780195440201 || -18.34 ||  6.86 |
| 9780199540419 || -18.98 || -15.53 |
| 9780132895590 || -19.11 ||  9.39 |
| 9780133360905 || -20.17 || 24.83 |
| 9780199339136 || -20.23 || 42.22 |
| 9780195443035 || -21.75 ||  8.75 |
| 9780176506902 || -21.94 || 19.76 |
| 9780195337457 || -22.40 || -15.95 |
| 9780176502744 || -22.50 || 19.25 |
| 9780140442533 || -22.65 || -17.90 |
| 9780199538331 || -22.98 || -18.78 |
| 9780192802071 || -23.64 || -17.14 |
| 9780133356816 || -24.46 || 25.54 |
| 9780199535910 || -24.47 || -21.77 |
| 9780199535897 || -24.81 || -22.11 |
| 9780199535866 || -24.96 || -22.26 |
| 9780073398273 || -25.45 || 40.80 |
| 9780130212719 || -29.48 || 20.47 |
| 9780199795154 || -29.80 ||  0.20 |
| 9780195395525 || -29.99 ||  3.01 |
| 9780199930159 || -30.32 || -15.77 |
| 9780133942842 || -30.92 || 19.08 |
| 9780133570731 || -31.70 ||  1.05 |
| 9780073386348 || -32.87 || 10.58 |
| 9780133815726 || -33.17 || -6.42 |
| 9780061577079 || -34.75 || -29.01 |
| 9780176673413 || -36.06 || -7.11 |
| 9780130342812 || -37.79 ||  5.21 |
| 9780060921071 || -38.53 || -34.03 |
| 9780143105244 || -39.30 || -35.05 |
| 9780140390797 || -39.75 || -35.50 |
| 9780195442960 || -39.96 || -7.96 |
| 9780140445626 || -40.50 || -35.50 |
| 9780195433616 || -41.57 || -13.57 |
| 9780195139570 || -42.00 || -20.50 |
| 9780199007905 || -43.19 || -33.89 |
| 9780199536511 || -46.24 || -43.54 |
| 9780137792085 || -53.67 || -4.67 |
| 9780176507879 || -54.56 || -30.56 |
| 9780071338875 || -57.26 || -15.26 |
| 9780133071160 || -58.29 || -19.99 |
| 9780205573462 || -384.60 || -348.90 |
===================================
